step,eval_mode,swap_mode,dataset,model_A_composite,model_B_composite,model_A_mean,model_B_mean,model_A_instruction_following,model_B_instruction_following,model_A_naturalness,model_B_naturalness,model_A_coherence,model_B_coherence,model_A_accuracy,model_B_accuracy,winrate,num_wins,num_losses,num_ties,num_battles
11000,rubric,fixed,arena-hard,0.8607214428857716,0.8261523046092184,6.16432865731463,5.956913827655311,5.829659318637274,5.593186372745491,6.547094188376754,6.44689378757515,6.318637274549098,6.110220440881764,5.961923847695391,5.677354709418838,,,,,
11000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5928571428571429,951,652,7,1610
11000,winrate,both,arena-hard,,,,,,,,,,,,,0.6265,624,371,5,1000
11000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9055900621118013,727,74,4,805
11000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.85,424,74,2,500
13000,rubric,fixed,alpaca-eval,0.9355072463768116,0.8889925373134329,6.613043478260869,6.333955223880597,6.458385093167702,6.069651741293533,6.806211180124223,6.599502487562189,6.6770186335403725,6.4502487562189055,6.51055900621118,6.2164179104477615,,,,,
13000,rubric,fixed,arena-hard,0.859,0.8085,6.154,5.851,5.836,5.48,6.532,6.376,6.292,6.016,5.956,5.532,,,,,
13000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5813664596273292,932,670,8,1610
13000,winrate,both,arena-hard,,,,,,,,,,,,,0.639,635,357,8,1000
13000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9,724,80,1,805
13000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.822,410,88,2,500
15000,rubric,fixed,alpaca-eval,0.9317805383022775,0.8973084886128365,6.590683229813664,6.383850931677019,6.413664596273292,6.132919254658385,6.791304347826087,6.6670807453416145,6.6670807453416145,6.458385093167702,6.490683229813665,6.277018633540373,,,,,
15000,rubric,fixed,arena-hard,0.8607214428857716,0.8226666666666667,6.16432865731463,5.936,5.829659318637274,5.532,6.547094188376754,6.472,6.318637274549098,6.144,5.961923847695391,5.596,,,,,
15000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5729813664596274,920,685,5,1610
15000,winrate,both,arena-hard,,,,,,,,,,,,,0.6115,609,386,5,1000
15000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8987577639751553,722,80,3,805
15000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.821,409,88,3,500
17000,rubric,fixed,alpaca-eval,0.9202898550724639,0.8920289855072464,6.521739130434782,6.352173913043479,6.311801242236025,6.100621118012422,6.724223602484472,6.627329192546584,6.60248447204969,6.453416149068323,6.448447204968944,6.227329192546584,,,,,
17000,rubric,fixed,arena-hard,0.8703333333333334,0.822,6.222,5.932,5.868,5.508,6.652,6.428,6.388,6.128,5.98,5.664,,,,,
17000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5916149068322981,950,655,5,1610
17000,winrate,both,arena-hard,,,,,,,,,,,,,0.612,612,388,0,1000
17000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9,724,80,1,805
17000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.819,407,88,5,500
19000,rubric,fixed,alpaca-eval,0.9202898550724639,0.8963768115942029,6.521739130434782,6.378260869565217,6.311801242236025,6.177639751552795,6.724223602484472,6.609937888198758,6.60248447204969,6.448447204968944,6.448447204968944,6.277018633540373,,,,,
19000,rubric,fixed,arena-hard,0.859,0.841182364729459,6.154,6.047094188376754,5.836,5.697394789579159,6.532,6.490981963927855,6.292,6.210420841683367,5.956,5.789579158316633,,,,,
19000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5599378881987578,896,703,11,1610
19000,winrate,both,arena-hard,,,,,,,,,,,,,0.5715,569,426,5,1000
19000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8950310559006212,718,82,5,805
19000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.794,396,102,2,500
21000,rubric,fixed,alpaca-eval,0.9255693581780539,0.9000829187396351,6.553416149068323,6.400497512437811,6.359006211180124,6.1840796019900495,6.771428571428571,6.641791044776119,6.649689440993789,6.475124378109452,6.433540372670808,6.300995024875622,,,,,
21000,rubric,fixed,arena-hard,0.8748333333333334,0.8156312625250501,6.249,5.8937875751503,5.932,5.541082164328658,6.636,6.362725450901803,6.408,6.006012024048096,6.02,5.6653306613226455,,,,,
21000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5605590062111802,899,704,7,1610
21000,winrate,both,arena-hard,,,,,,,,,,,,,0.5885,586,409,5,1000
21000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9024844720496894,725,77,3,805
21000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.809,403,94,3,500
24000,rubric,fixed,alpaca-eval,0.9316770186335404,0.9190505804311774,6.590062111801243,6.5143034825870645,6.37888198757764,6.298507462686567,6.811180124223602,6.758706467661692,6.6745341614906835,6.604477611940299,6.495652173913044,6.395522388059701,,,,,
24000,rubric,fixed,arena-hard,0.8607214428857716,0.8613333333333334,6.16432865731463,6.168,5.829659318637274,5.864,6.547094188376754,6.564,6.318637274549098,6.336,5.961923847695391,5.908,,,,,
24000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5118012422360249,821,783,6,1610
24000,winrate,both,arena-hard,,,,,,,,,,,,,0.525,523,473,4,1000
24000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8720496894409938,700,101,4,805
24000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.789,393,104,3,500
27000,rubric,fixed,alpaca-eval,0.9384057971014492,0.932712215320911,6.630434782608695,6.596273291925466,6.426086956521739,6.433540372670808,6.855900621118012,6.783850931677018,6.724223602484472,6.6670807453416145,6.515527950310559,6.500621118012423,,,,,
27000,rubric,fixed,arena-hard,0.8607214428857716,0.8533333333333334,6.16432865731463,6.12,5.829659318637274,5.812,6.547094188376754,6.532,6.318637274549098,6.252,5.961923847695391,5.884,,,,,
27000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5114906832298136,819,782,9,1610
27000,winrate,both,arena-hard,,,,,,,,,,,,,0.554,550,442,8,1000
27000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8652173913043478,695,107,3,805
27000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.775,386,111,3,500
31000,rubric,fixed,alpaca-eval,0.9265255292652553,0.934472049689441,6.559153175591532,6.606832298136646,6.3623910336239105,6.42111801242236,6.773349937733499,6.808695652173913,6.6313823163138235,6.6745341614906835,6.469489414694894,6.522981366459628,,,,,
31000,rubric,fixed,arena-hard,0.874,0.8651666666666666,6.244,6.191,5.892,5.868,6.62,6.596,6.444,6.352,6.02,5.948,,,,,
31000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5043478260869565,807,793,10,1610
31000,winrate,both,arena-hard,,,,,,,,,,,,,0.5145,511,482,7,1000
31000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8552795031055901,687,115,3,805
31000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.75,373,123,4,500
34000,rubric,fixed,alpaca-eval,0.9202898550724639,0.9261904761904762,6.521739130434782,6.557142857142857,6.311801242236025,6.33167701863354,6.724223602484472,6.801242236024844,6.60248447204969,6.6621118012422365,6.448447204968944,6.433540372670808,,,,,
34000,rubric,fixed,arena-hard,0.8607214428857716,0.8416833667334669,6.16432865731463,6.050100200400801,5.829659318637274,5.741482965931864,6.547094188376754,6.4188376753507015,6.318637274549098,6.198396793587174,5.961923847695391,5.841683366733467,,,,,
34000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5096273291925466,816,785,9,1610
34000,winrate,both,arena-hard,,,,,,,,,,,,,0.4865,482,509,9,1000
34000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8515527950310559,685,119,1,805
34000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.781,388,107,5,500
38000,rubric,fixed,alpaca-eval,0.9256840796019901,0.9314699792960663,6.55410447761194,6.588819875776397,6.338308457711443,6.383850931677019,6.751243781094527,6.793788819875776,6.6318407960199,6.6720496894409935,6.4950248756218905,6.505590062111802,,,,,
38000,rubric,fixed,arena-hard,0.8607214428857716,0.8615,6.16432865731463,6.169,5.829659318637274,5.812,6.547094188376754,6.56,6.318637274549098,6.36,5.961923847695391,5.944,,,,,
38000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5055900621118012,811,793,6,1610
38000,winrate,both,arena-hard,,,,,,,,,,,,,0.515,510,480,10,1000
38000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8459627329192546,678,121,6,805
38000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.732,365,133,2,500
42856,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8621118012422361,693,110,2,805
42856,winrate,fixed,arena-hard,,,,,,,,,,,,,0.757,378,121,1,500
